dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,regret,top1_correct,top3_correct
page-blocks0,random_forest,random_forest,smote_tomek,none,0.9345174973488866,0.9258422617863128,0.9345174973488866,-0.008675235562573769,0.0,0.008675235562573769,0.0086752355625737,False,True
pima,random_forest,random_forest,smote_tomek,smote_enn,0.7354267425456938,0.7390417940876657,0.7431733533861193,0.0036150515419718365,0.007746610840425494,0.0041315592984536575,0.0041315592984536,False,False
segment0,random_forest,random_forest,none,adasyn,0.9946556506999986,0.9946556506999986,0.9964641357967948,0.0,0.0018084850967962085,0.0018084850967962085,0.0018084850967962,False,False
shuttle-c0-vs-c4,random_forest,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,random_forest,random_forest,none,none,0.9860331250103184,0.9860331250103184,0.9860331250103184,0.0,0.0,0.0,0.0,True,True
vowel0,random_forest,random_forest,none,none,0.9125866035090584,0.9125866035090584,0.9125866035090584,0.0,0.0,0.0,0.0,True,True
wisconsin,random_forest,random_forest,ros,smote_tomek,0.9695724860430164,0.9680009744944807,0.9760671661141908,-0.0015715115485356312,0.006494680071174375,0.008066191619710006,0.00806619161971,False,True
yeast1,random_forest,random_forest,smote_enn,smote_tomek,0.7063534771707733,0.692720050732675,0.7315821634877828,-0.013633426438098395,0.025228686317009474,0.03886211275510787,0.0388621127551078,False,True
ecoli-0_vs_1,xgboost,random_forest,ros,smote_enn,0.98001998001998,0.9849695975951356,0.9899488304093568,0.0049496175751555516,0.009928850389376742,0.004979232814221191,0.0049792328142211,False,False
glass1,xgboost,random_forest,smote_enn,ros,0.8174728889971976,0.733424213223024,0.8275665939899517,-0.08404867577417363,0.010093704992754082,0.09414238076692771,0.0941423807669277,False,True
haberman,xgboost,random_forest,ros,smote_enn,0.550908090258668,0.557703783267693,0.6397174254317111,0.006795693009024939,0.08880933517304301,0.08201364216401807,0.082013642164018,False,False
iris0,xgboost,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,xgboost,random_forest,ros,none,0.9305993992368964,0.9292832961964628,0.9305993992368964,-0.0013161030404336138,0.0,0.0013161030404336138,0.0013161030404336,False,False
pima,xgboost,random_forest,ros,none,0.7361390827659384,0.7333994545003719,0.7361390827659384,-0.002739628265566507,0.0,0.002739628265566507,0.0027396282655665,False,False
segment0,xgboost,random_forest,none,none,0.992910361224468,0.992910361224468,0.992910361224468,0.0,0.0,0.0,0.0,True,True
shuttle-c0-vs-c4,xgboost,random_forest,none,none|ros|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,xgboost,random_forest,none,ros,0.9767920335774832,0.9767920335774832,0.9815166808677984,0.0,0.004724647290315187,0.004724647290315187,0.0047246472903151,False,True
vowel0,xgboost,random_forest,ros,none,0.9107273731238392,0.9038134808101173,0.9107273731238392,-0.00691389231372197,0.0,0.00691389231372197,0.0069138923137219,False,True
wisconsin,xgboost,random_forest,ros,smote_enn,0.9663060713908171,0.9615290738063498,0.9680009744944807,-0.0047769975844673684,0.001694903103663603,0.0064719006881309715,0.0064719006881309,False,False
yeast1,xgboost,random_forest,none,smote_tomek,0.6963947375929667,0.6963947375929667,0.7104116832431071,0.0,0.014016945650140444,0.014016945650140444,0.0140169456501404,False,False
ecoli-0_vs_1,logistic_regression,gradient_boosting,adasyn,smote_tomek,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.0147637471075949,False,False
glass1,logistic_regression,gradient_boosting,ros,smote_enn,0.5015185021376971,0.6062384999561903,0.61023457900858,0.10471999781849317,0.10871607687088292,0.003996079052389745,0.0039960790523897,False,False
haberman,logistic_regression,gradient_boosting,smote,smote_enn,0.5344040574809805,0.625339366515837,0.6425233644859814,0.09093530903485647,0.10811930700500083,0.01718399797014436,0.0171839979701443,False,False
iris0,logistic_regression,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,logistic_regression,gradient_boosting,none,none,0.847852850384496,0.847852850384496,0.847852850384496,0.0,0.0,0.0,0.0,True,True
