analysis,strategy_a,strategy_b,datasets,mean_a,mean_b,mean_difference_a_minus_b,permutation_statistic,raw_p_value,rank_biserial_effect,holm_adjusted_p_value,significant_alpha_0_05
xgboost,Random Undersampling,SMOTE-Tomek,10,0.8468674996834376,0.8529959156117106,-0.006128415928273068,-0.06128415928273179,0.26171875,-0.4666666666666667,1.0,False
xgboost,Random Undersampling,SMOTE-ENN,10,0.8468674996834376,0.8501616385747184,-0.003294138891280829,-0.03294138891280807,0.6640625,-0.6363636363636364,1.0,False
xgboost,SMOTE,ADASYN,10,0.8555813349028043,0.858334771022679,-0.0027534361198746637,-0.02753436119874697,0.58984375,0.2,1.0,False
xgboost,SMOTE,SMOTE-Tomek,10,0.8555813349028043,0.8529959156117106,0.0025854192910936824,0.02585419291093438,0.671875,0.07142857142857142,1.0,False
xgboost,SMOTE,SMOTE-ENN,10,0.8555813349028043,0.8501616385747184,0.005419696328085921,0.0541969632808581,0.60546875,0.24444444444444444,1.0,False
xgboost,ADASYN,SMOTE-Tomek,10,0.858334771022679,0.8529959156117106,0.005338855410968346,0.05338855410968135,0.326171875,0.2,1.0,False
xgboost,ADASYN,SMOTE-ENN,10,0.858334771022679,0.8501616385747184,0.008173132447960585,0.08173132447960507,0.533203125,0.2,1.0,False
xgboost,SMOTE-Tomek,SMOTE-ENN,10,0.8529959156117106,0.8501616385747184,0.0028342770369922388,0.02834277036992372,0.76953125,0.2,1.0,False
ALL_CLASSIFIERS,No Resampling,Random Oversampling,10,0.8364171003620691,0.8381212900848795,-0.0017041897228103897,-0.017041897228102787,0.77734375,-0.01818181818181818,1.0,False
ALL_CLASSIFIERS,No Resampling,Random Undersampling,10,0.8364171003620691,0.8261116116432685,0.010305488718800548,0.10305488718800637,0.21484375,0.6,1.0,False
ALL_CLASSIFIERS,No Resampling,SMOTE,10,0.8364171003620691,0.8367642717544769,-0.0003471713924078079,-0.003471713924076081,0.943359375,0.09090909090909091,1.0,False
ALL_CLASSIFIERS,No Resampling,ADASYN,10,0.8364171003620691,0.8339734787148159,0.0024436216472532024,0.024436216472533134,0.701171875,0.34545454545454546,1.0,False
ALL_CLASSIFIERS,No Resampling,SMOTE-Tomek,10,0.8364171003620691,0.837364155837381,-0.0009470554753119309,-0.009470554753117533,0.841796875,0.05454545454545454,1.0,False
ALL_CLASSIFIERS,No Resampling,SMOTE-ENN,10,0.8364171003620691,0.8383958898548547,-0.0019787894927856264,-0.019787894927855043,0.98046875,0.41818181818181815,1.0,False
ALL_CLASSIFIERS,Random Oversampling,Random Undersampling,10,0.8381212900848795,0.8261116116432685,0.012009678441610938,0.12009678441610916,0.041015625,0.7090909090909091,0.7421875,False
ALL_CLASSIFIERS,Random Oversampling,SMOTE,10,0.8381212900848795,0.8367642717544769,0.0013570183304025818,0.013570183304026706,0.361328125,0.2727272727272727,1.0,False
ALL_CLASSIFIERS,Random Oversampling,ADASYN,10,0.8381212900848795,0.8339734787148159,0.004147811370063592,0.04147811370063592,0.392578125,0.45454545454545453,1.0,False
ALL_CLASSIFIERS,Random Oversampling,SMOTE-Tomek,10,0.8381212900848795,0.837364155837381,0.0007571342474984588,0.007571342474985254,0.658203125,0.23636363636363636,1.0,False
ALL_CLASSIFIERS,Random Oversampling,SMOTE-ENN,10,0.8381212900848795,0.8383958898548547,-0.0002745997699752367,-0.002745997699752256,0.97265625,0.12727272727272726,1.0,False
ALL_CLASSIFIERS,Random Undersampling,SMOTE,10,0.8261116116432685,0.8367642717544769,-0.010652660111208356,-0.10652660111208245,0.033203125,-0.7090909090909091,0.6640625,False
ALL_CLASSIFIERS,Random Undersampling,ADASYN,10,0.8261116116432685,0.8339734787148159,-0.007861867071547346,-0.07861867071547324,0.0390625,-0.6363636363636364,0.7421875,False
ALL_CLASSIFIERS,Random Undersampling,SMOTE-Tomek,10,0.8261116116432685,0.837364155837381,-0.01125254419411248,-0.1125254419411239,0.01171875,-0.8545454545454545,0.24609375,False
ALL_CLASSIFIERS,Random Undersampling,SMOTE-ENN,10,0.8261116116432685,0.8383958898548547,-0.012284278211586175,-0.12284278211586142,0.111328125,-0.6,1.0,False
ALL_CLASSIFIERS,SMOTE,ADASYN,10,0.8367642717544769,0.8339734787148159,0.0027907930396610103,0.027907930396609215,0.453125,0.38181818181818183,1.0,False
ALL_CLASSIFIERS,SMOTE,SMOTE-Tomek,10,0.8367642717544769,0.837364155837381,-0.000599884082904123,-0.005998840829041452,0.640625,-0.2222222222222222,1.0,False
ALL_CLASSIFIERS,SMOTE,SMOTE-ENN,10,0.8367642717544769,0.8383958898548547,-0.0016316181003778185,-0.016316181003778962,0.83984375,0.05454545454545454,1.0,False
ALL_CLASSIFIERS,ADASYN,SMOTE-Tomek,10,0.8339734787148159,0.837364155837381,-0.0033906771225651333,-0.03390677122565067,0.279296875,-0.45454545454545453,1.0,False
ALL_CLASSIFIERS,ADASYN,SMOTE-ENN,10,0.8339734787148159,0.8383958898548547,-0.004422411140038829,-0.04422411140038818,0.587890625,-0.12727272727272726,1.0,False
ALL_CLASSIFIERS,SMOTE-Tomek,SMOTE-ENN,10,0.837364155837381,0.8383958898548547,-0.0010317340174736955,-0.01031734017473751,0.890625,0.12727272727272726,1.0,False
