dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
page-blocks0,smote,SMOTE,decision_tree,5472,10,10,0,5,4763,150,65,494,0.9607090643274854,0.9265948432966169,0.7670807453416149,0.8837209302325582,0.9779283441125141,0.8212801330008312,0.8996042385566727,0.8996042385566727,0.0,PASS,,0.8898411000000017
page-blocks0,adasyn,ADASYN,decision_tree,5472,10,10,0,5,4764,149,70,489,0.9599780701754386,0.9222243421946157,0.7664576802507836,0.8747763864042933,0.9775315481686674,0.8170426065162907,0.897287077342479,0.897287077342479,0.0,PASS,,1.1676313
page-blocks0,rus,Random Undersampling,decision_tree,5472,10,10,0,5,4602,311,50,509,0.9340277777777778,0.92362655828591,0.6207317073170732,0.9105545617173524,0.9622582331416623,0.7382160986221901,0.8502371658819261,0.8502371658819261,0.0,PASS,,0.2523105000000001
page-blocks0,none,No Resampling,random_forest,5472,10,10,0,5,4855,58,72,487,0.9762426900584795,0.9296965773328911,0.8935779816513761,0.8711985688729875,0.9867886178861789,0.8822463768115942,0.9345174973488866,0.9345174973488866,0.0,PASS,,4.474763799999998
page-blocks0,ros,Random Oversampling,random_forest,5472,10,10,0,5,4837,76,59,500,0.975328947368421,0.9394926096912758,0.8680555555555556,0.8944543828264758,0.9862371291670915,0.881057268722467,0.9336471989447792,0.9336471989447792,0.0,PASS,,4.652307900000004
page-blocks0,smote_tomek,SMOTE-Tomek,random_forest,5472,10,10,0,5,4795,118,40,519,0.971125730994152,0.9522128688554734,0.814756671899529,0.9284436493738819,0.9837915469839967,0.8678929765886287,0.9258422617863127,0.9258422617863127,0.0,PASS,,7.165259599999999
page-blocks0,smote,SMOTE,random_forest,5472,10,10,0,5,4793,120,45,514,0.9698464912280702,0.9475370553170789,0.8107255520504731,0.9194991055456172,0.9830786585991179,0.8616932103939648,0.9223859344965414,0.9223859344965414,0.0,PASS,,6.1240583000000015
page-blocks0,adasyn,ADASYN,random_forest,5472,10,10,0,5,4770,143,41,518,0.966374269005848,0.9487741441693699,0.783661119515885,0.9266547406082289,0.981077745783628,0.8491803278688524,0.9151290368262402,0.9151290368262402,0.0,PASS,,6.624387399999996
page-blocks0,smote_enn,SMOTE-ENN,random_forest,5472,10,10,0,5,4742,171,28,531,0.9636330409356725,0.9575524684064438,0.7564102564102564,0.9499105545617174,0.9794485180212743,0.8421887390959555,0.9108186285586148,0.9108186285586148,0.0,PASS,,6.665589199999999
page-blocks0,rus,Random Undersampling,random_forest,5472,10,10,0,5,4656,257,15,544,0.9502923976608187,0.9604280855399151,0.6791510611735331,0.9731663685152058,0.9716193656093489,0.8,0.8858096828046744,0.8858096828046744,0.0,PASS,,2.808228800000002
page-blocks0,none,No Resampling,xgboost,5472,10,10,0,5,4850,63,75,484,0.9747807017543859,0.9265043601237561,0.8848263254113345,0.8658318425760286,0.9859727586907907,0.8752260397830018,0.9305993992368963,0.9305993992368963,0.0,PASS,,3.2135529000000105
page-blocks0,ros,Random Oversampling,xgboost,5472,10,10,0,5,4797,116,35,524,0.9724049707602339,0.956888682393868,0.81875,0.9373881932021467,0.9845048742945101,0.8740617180984154,0.9292832961964628,0.9292832961964628,0.0,PASS,,4.195879500000004
page-blocks0,smote_tomek,SMOTE-Tomek,xgboost,5472,10,10,0,5,4783,130,33,526,0.9702119883040936,0.9572527997896858,0.801829268292683,0.9409660107334525,0.9832459656696473,0.8658436213991768,0.924544793534412,0.924544793534412,0.0,PASS,,6.825229699999994
page-blocks0,smote,SMOTE,xgboost,5472,10,10,0,5,4779,134,39,520,0.9683845029239766,0.9514789902442027,0.7951070336391437,0.9302325581395349,0.9822217654917276,0.8573784006595219,0.9198000830756248,0.9198000830756248,0.0,PASS,,5.688197399999993
page-blocks0,adasyn,ADASYN,xgboost,5472,10,10,0,5,4744,169,26,533,0.9643640350877193,0.959544918796359,0.7592592592592593,0.9534883720930233,0.9798616131364247,0.845360824742268,0.9126112189393464,0.9126112189393464,0.0,PASS,,5.967174700000001
page-blocks0,smote_enn,SMOTE-ENN,xgboost,5472,10,10,0,5,4731,182,26,533,0.9619883040935673,0.958221898238655,0.7454545454545455,0.9534883720930233,0.9784901758014479,0.8367346938775511,0.9076124348394995,0.9076124348394995,0.0,PASS,,6.808481499999999
page-blocks0,rus,Random Undersampling,xgboost,5472,10,10,0,5,4690,223,17,542,0.956140350877193,0.9620993843867189,0.7084967320261438,0.9695885509838998,0.975051975051975,0.8187311178247735,0.8968915464383742,0.8968915464383742,0.0,PASS,,1.761754599999989
