dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
ecoli-0_vs_1,none,No Resampling,decision_tree,220,7,7,0,5,139,4,2,75,0.9727272727272728,0.9730269730269729,0.9493670886075949,0.974025974025974,0.9788732394366197,0.9615384615384615,0.9702058504875406,0.9702058504875406,0.0,PASS,,0.15901129999999952
ecoli-0_vs_1,smote_tomek,SMOTE-Tomek,decision_tree,220,7,7,0,5,139,4,2,75,0.9727272727272728,0.9730269730269729,0.9493670886075949,0.974025974025974,0.9788732394366197,0.9615384615384615,0.9702058504875406,0.9702058504875406,0.0,PASS,,0.09909260000000053
ecoli-0_vs_1,adasyn,ADASYN,decision_tree,220,7,7,0,5,137,6,3,74,0.9590909090909091,0.9595404595404595,0.925,0.961038961038961,0.9681978798586572,0.9426751592356688,0.955436519547163,0.955436519547163,0.0,PASS,,0.1267820000000004
ecoli-0_vs_1,rus,Random Undersampling,decision_tree,220,7,7,0,5,134,9,2,75,0.95,0.9555444555444556,0.8928571428571429,0.974025974025974,0.960573476702509,0.9316770186335404,0.9461252476680246,0.9461252476680246,0.0,PASS,,0.07954669999999986
ecoli-0_vs_1,none,No Resampling,random_forest,220,7,7,0,5,143,0,2,75,0.990909090909091,0.987012987012987,1.0,0.974025974025974,0.9930555555555556,0.9868421052631579,0.9899488304093567,0.9899488304093567,0.0,PASS,,3.915239399999999
ecoli-0_vs_1,ros,Random Oversampling,random_forest,220,7,7,0,5,143,0,2,75,0.990909090909091,0.987012987012987,1.0,0.974025974025974,0.9930555555555556,0.9868421052631579,0.9899488304093567,0.9899488304093567,0.0,PASS,,3.3722759000000018
ecoli-0_vs_1,smote_enn,SMOTE-ENN,random_forest,220,7,7,0,5,143,0,2,75,0.990909090909091,0.987012987012987,1.0,0.974025974025974,0.9930555555555556,0.9868421052631579,0.9899488304093567,0.9899488304093567,0.0,PASS,,3.053799699999999
ecoli-0_vs_1,smote,SMOTE,random_forest,220,7,7,0,5,142,1,2,75,0.9863636363636363,0.9835164835164836,0.9868421052631579,0.974025974025974,0.9895470383275262,0.9803921568627451,0.9849695975951356,0.9849695975951356,0.0,PASS,,3.823396299999999
ecoli-0_vs_1,smote_tomek,SMOTE-Tomek,random_forest,220,7,7,0,5,142,1,2,75,0.9863636363636363,0.9835164835164836,0.9868421052631579,0.974025974025974,0.9895470383275262,0.9803921568627451,0.9849695975951356,0.9849695975951356,0.0,PASS,,3.322800000000001
ecoli-0_vs_1,rus,Random Undersampling,random_forest,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,3.2814563999999997
ecoli-0_vs_1,adasyn,ADASYN,random_forest,220,7,7,0,5,140,3,2,75,0.9772727272727273,0.9765234765234765,0.9615384615384616,0.974025974025974,0.9824561403508772,0.967741935483871,0.9750990379173741,0.9750990379173741,0.0,PASS,,3.3811057000000027
ecoli-0_vs_1,smote_enn,SMOTE-ENN,xgboost,220,7,7,0,5,143,0,2,75,0.990909090909091,0.987012987012987,1.0,0.974025974025974,0.9930555555555556,0.9868421052631579,0.9899488304093567,0.9899488304093567,0.0,PASS,,1.0908283999999995
ecoli-0_vs_1,ros,Random Oversampling,xgboost,220,7,7,0,5,142,1,2,75,0.9863636363636363,0.9835164835164836,0.9868421052631579,0.974025974025974,0.9895470383275262,0.9803921568627451,0.9849695975951356,0.9849695975951356,0.0,PASS,,1.259764599999997
ecoli-0_vs_1,none,No Resampling,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.1138825999999966
ecoli-0_vs_1,rus,Random Undersampling,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.171676099999999
ecoli-0_vs_1,smote,SMOTE,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.0303062999999995
ecoli-0_vs_1,smote_tomek,SMOTE-Tomek,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.1116704000000013
ecoli-0_vs_1,adasyn,ADASYN,xgboost,220,7,7,0,5,140,3,2,75,0.9772727272727273,0.9765234765234765,0.9615384615384616,0.974025974025974,0.9824561403508772,0.967741935483871,0.9750990379173741,0.9750990379173741,0.0,PASS,,1.0988431999999975
