dataset,samples,features,feature_sample_ratio,numeric_features,categorical_features,missing_values,duplicates,majority_count,minority_count,minority_proportion,imbalance_ratio,resampling_code,resampling,classifier,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds,target_macro_f1,baseline_macro_f1,delta_macro_f1_vs_baseline
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_tomek,SMOTE-Tomek,random_forest,398,102,83,185,0.7591145833333334,0.7431492537313433,0.6445993031358885,0.6902985074626866,0.8114169215086647,0.6666666666666667,0.7390417940876657,0.7390417940876657,0.0,PASS,2.8182814999999977,0.7390417940876657,0.7354267425456938,0.0036150515419718365
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,ros,Random Oversampling,random_forest,403,97,88,180,0.7591145833333334,0.738820895522388,0.6498194945848376,0.6716417910447762,0.8133198789101918,0.6605504587155964,0.736935168812894,0.736935168812894,0.0,PASS,2.7468592000000003,0.736935168812894,0.7354267425456938,0.001508426267200158
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,none,No Resampling,random_forest,427,73,106,162,0.7669270833333334,0.7292388059701492,0.6893617021276596,0.6044776119402985,0.8267182962245885,0.6441351888667992,0.7354267425456938,0.7354267425456938,0.0,PASS,2.5069287,0.7354267425456938,0.7354267425456938,0.0
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote,SMOTE,random_forest,390,110,80,188,0.7526041666666666,0.7407462686567164,0.6308724832214765,0.7014925373134329,0.8041237113402062,0.6643109540636042,0.7342173327019053,0.7342173327019053,0.0,PASS,2.9436181999999995,0.7342173327019053,0.7354267425456938,-0.0012094098437885892
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,rus,Random Undersampling,random_forest,369,131,64,204,0.74609375,0.7495970149253731,0.608955223880597,0.7611940298507462,0.7909967845659164,0.6766169154228856,0.733806849994401,0.733806849994401,0.0,PASS,2.6843419,0.733806849994401,0.7354267425456938,-0.0016198925512928009
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,none,No Resampling,xgboost,419,81,100,168,0.7643229166666666,0.7324328358208956,0.6746987951807228,0.6268656716417911,0.8223748773307163,0.6499032882011605,0.7361390827659384,0.7361390827659384,0.0,PASS,1.8870904999999996,0.7361390827659384,0.7361390827659384,0.0
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_enn,SMOTE-ENN,xgboost,361,139,57,211,0.7447916666666666,0.7546567164179104,0.6028571428571429,0.7873134328358209,0.7864923747276688,0.6828478964401293,0.734670135583899,0.734670135583899,0.0,PASS,1.5862176000000012,0.734670135583899,0.7361390827659384,-0.0014689471820393818
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,ros,Random Oversampling,xgboost,396,104,85,183,0.75390625,0.7374179104477612,0.6376306620209059,0.6828358208955224,0.8073394495412844,0.6594594594594595,0.7333994545003719,0.7333994545003719,0.0,PASS,1.6437390999999997,0.7333994545003719,0.7361390827659384,-0.002739628265566507
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,adasyn,ADASYN,xgboost,379,121,74,194,0.74609375,0.7409402985074627,0.6158730158730159,0.7238805970149254,0.7953830010493179,0.6655231560891939,0.7304530785692559,0.7304530785692559,0.0,PASS,1.8420211,0.7304530785692559,0.7361390827659384,-0.005686004196682526
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote,SMOTE,xgboost,380,120,76,192,0.7447916666666666,0.7382089552238806,0.6153846153846154,0.7164179104477612,0.7949790794979081,0.6620689655172414,0.7285240225075748,0.7285240225075748,0.0,PASS,1.6535613000000016,0.7285240225075748,0.7361390827659384,-0.007615060258363671
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,rus,Random Undersampling,xgboost,367,133,68,200,0.73828125,0.7401343283582089,0.6006006006006006,0.746268656716418,0.7850267379679144,0.6655574043261231,0.7252920711470188,0.7252920711470188,0.0,PASS,1.3977775999999995,0.7252920711470188,0.7361390827659384,-0.010847011618919655
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_tomek,SMOTE-Tomek,xgboost,381,119,80,188,0.7408854166666666,0.7317462686567164,0.6123778501628665,0.7014925373134329,0.7929240374609782,0.6539130434782608,0.7234185404696195,0.7234185404696195,0.0,PASS,1.766071499999999,0.7234185404696195,0.7361390827659384,-0.012720542296318915
