dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
zoo-3,none,No Resampling,decision_tree,101,16,0,16,3,92,4,4,1,0.9207920792079208,0.5791666666666667,0.2,0.2,0.9583333333333334,0.20000000000000004,0.5791666666666667,0.5791666666666667,0.0,PASS,0.16007719999999992
zoo-3,smote,SMOTE,decision_tree,101,16,0,16,3,91,5,4,1,0.9108910891089109,0.5739583333333333,0.16666666666666666,0.2,0.9528795811518324,0.1818181818181818,0.5673488814850071,0.5673488814850071,0.0,PASS,0.12412589999999923
zoo-3,smote_tomek,SMOTE-Tomek,decision_tree,101,16,0,16,3,91,5,4,1,0.9108910891089109,0.5739583333333333,0.16666666666666666,0.2,0.9528795811518324,0.1818181818181818,0.5673488814850071,0.5673488814850071,0.0,PASS,0.14414760000000015
zoo-3,rus,Random Undersampling,decision_tree,101,16,0,16,3,68,28,1,4,0.7128712871287128,0.7541666666666667,0.125,0.8,0.8242424242424243,0.21621621621621623,0.5202293202293202,0.5202293202293202,0.0,PASS,0.22156799999999954
zoo-3,ros,Random Oversampling,random_forest,101,16,0,16,3,95,1,2,3,0.9702970297029703,0.7947916666666667,0.75,0.6,0.9844559585492227,0.6666666666666665,0.8255613126079446,0.8255613126079446,0.0,PASS,3.469139900000002
zoo-3,none,No Resampling,random_forest,101,16,0,16,3,96,0,3,2,0.9702970297029703,0.7,1.0,0.4,0.9846153846153847,0.5714285714285715,0.7780219780219781,0.7780219780219781,0.0,PASS,2.998932999999999
zoo-3,smote_enn,SMOTE-ENN,random_forest,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,3.499875799999998
zoo-3,smote,SMOTE,random_forest,101,16,0,16,3,95,1,3,2,0.9603960396039604,0.6947916666666667,0.6666666666666666,0.4,0.9793814432989691,0.5,0.7396907216494846,0.7396907216494846,0.0,PASS,3.593702099999998
zoo-3,adasyn,ADASYN,random_forest,101,16,0,16,3,95,1,3,2,0.9603960396039604,0.6947916666666667,0.6666666666666666,0.4,0.9793814432989691,0.5,0.7396907216494846,0.7396907216494846,0.0,PASS,4.231496
zoo-3,smote_tomek,SMOTE-Tomek,random_forest,101,16,0,16,3,95,1,3,2,0.9603960396039604,0.6947916666666667,0.6666666666666666,0.4,0.9793814432989691,0.5,0.7396907216494846,0.7396907216494846,0.0,PASS,3.2768790999999986
zoo-3,rus,Random Undersampling,random_forest,101,16,0,16,3,63,33,1,4,0.6633663366336634,0.728125,0.10810810810810811,0.8,0.7875,0.19047619047619047,0.4889880952380952,0.4889880952380952,0.0,PASS,3.1916370999999977
zoo-3,ros,Random Oversampling,xgboost,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,1.2261291000000014
zoo-3,none,No Resampling,xgboost,101,16,0,16,3,96,0,4,1,0.9603960396039604,0.6,1.0,0.2,0.9795918367346939,0.33333333333333337,0.6564625850340136,0.6564625850340136,0.0,PASS,1.3960561000000027
zoo-3,smote,SMOTE,xgboost,101,16,0,16,3,94,2,4,1,0.9405940594059405,0.5895833333333333,0.3333333333333333,0.2,0.9690721649484536,0.25,0.6095360824742269,0.6095360824742269,0.0,PASS,1.1864248999999987
zoo-3,adasyn,ADASYN,xgboost,101,16,0,16,3,94,2,4,1,0.9405940594059405,0.5895833333333333,0.3333333333333333,0.2,0.9690721649484536,0.25,0.6095360824742269,0.6095360824742269,0.0,PASS,1.1970247999999941
