dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
segment0,smote_tomek,SMOTE-Tomek,decision_tree,2308,19,19,0,5,1968,11,5,324,0.9930675909878682,0.9896220344007213,0.9671641791044776,0.9848024316109423,0.9959514170040485,0.9759036144578314,0.98592751573094,0.98592751573094,0.0,PASS,,1.8799431000000002
segment0,none,No Resampling,decision_tree,2308,19,19,0,5,1970,9,8,321,0.99263431542461,0.9855680695939584,0.9727272727272728,0.9756838905775076,0.995703816022239,0.9742033383915022,0.9849535772068706,0.9849535772068706,0.0,PASS,,0.33286820000000006
segment0,rus,Random Undersampling,decision_tree,2308,19,19,0,5,1942,37,4,325,0.9822357019064125,0.9845728170102183,0.8977900552486188,0.9878419452887538,0.9895541401273885,0.9406657018813314,0.9651099210043599,0.9651099210043599,0.0,PASS,,0.1138545999999998
segment0,adasyn,ADASYN,random_forest,2308,19,19,0,5,1976,3,1,328,0.9982668977469671,0.9977222845961624,0.9909365558912386,0.9969604863221885,0.9989888776541961,0.9939393939393939,0.9964641357967949,0.9964641357967949,0.0,PASS,,4.488559699999996
segment0,none,No Resampling,random_forest,2308,19,19,0,5,1978,1,5,324,0.9974003466204506,0.9921485629504938,0.9969230769230769,0.9848024316109423,0.9984856133266027,0.9908256880733944,0.9946556506999986,0.9946556506999986,0.0,PASS,,3.2022751000000014
segment0,ros,Random Oversampling,random_forest,2308,19,19,0,5,1974,5,4,325,0.9961005199306759,0.9926577083694905,0.9848484848484849,0.9878419452887538,0.9977255496588324,0.9863429438543246,0.9920342467565786,0.9920342467565786,0.0,PASS,,4.4829398000000005
segment0,smote,SMOTE,random_forest,2308,19,19,0,5,1974,5,4,325,0.9961005199306759,0.9926577083694905,0.9848484848484849,0.9878419452887538,0.9977255496588324,0.9863429438543246,0.9920342467565786,0.9920342467565786,0.0,PASS,,4.6467814999999995
segment0,smote_tomek,SMOTE-Tomek,random_forest,2308,19,19,0,5,1974,5,4,325,0.9961005199306759,0.9926577083694905,0.9848484848484849,0.9878419452887538,0.9977255496588324,0.9863429438543246,0.9920342467565786,0.9920342467565786,0.0,PASS,,6.076742500000002
segment0,smote_enn,SMOTE-ENN,random_forest,2308,19,19,0,5,1974,5,5,324,0.9956672443674177,0.9911379515305848,0.9848024316109423,0.9848024316109423,0.9974734714502274,0.9848024316109423,0.9911379515305848,0.9911379515305848,0.0,PASS,,6.211198700000004
segment0,rus,Random Undersampling,random_forest,2308,19,19,0,5,1964,15,2,327,0.99263431542461,0.9931706934975295,0.956140350877193,0.993920972644377,0.9956907477820025,0.9746646795827124,0.9851777136823574,0.9851777136823574,0.0,PASS,,4.6359822999999984
segment0,none,No Resampling,xgboost,2308,19,19,0,5,1975,4,4,325,0.9965337954939342,0.9929103612244679,0.9878419452887538,0.9878419452887538,0.9979787771601819,0.9878419452887538,0.9929103612244679,0.9929103612244679,0.0,PASS,,2.632413900000003
segment0,ros,Random Oversampling,xgboost,2308,19,19,0,5,1974,5,4,325,0.9961005199306759,0.9926577083694905,0.9848484848484849,0.9878419452887538,0.9977255496588324,0.9863429438543246,0.9920342467565786,0.9920342467565786,0.0,PASS,,2.4176575999999983
segment0,smote,SMOTE,xgboost,2308,19,19,0,5,1973,6,4,325,0.9956672443674177,0.9924050555145134,0.9818731117824774,0.9878419452887538,0.9974721941354905,0.9848484848484849,0.9911603394919877,0.9911603394919877,0.0,PASS,,3.1596971000000025
segment0,smote_tomek,SMOTE-Tomek,xgboost,2308,19,19,0,5,1973,6,4,325,0.9956672443674177,0.9924050555145134,0.9818731117824774,0.9878419452887538,0.9974721941354905,0.9848484848484849,0.9911603394919877,0.9911603394919877,0.0,PASS,,4.855896800000011
segment0,smote_enn,SMOTE-ENN,xgboost,2308,19,19,0,5,1974,5,5,324,0.9956672443674177,0.9911379515305848,0.9848024316109423,0.9848024316109423,0.9974734714502274,0.9848024316109423,0.9911379515305848,0.9911379515305848,0.0,PASS,,4.7342609000000095
segment0,adasyn,ADASYN,xgboost,2308,19,19,0,5,1973,6,5,324,0.9952339688041595,0.9908852986756076,0.9818181818181818,0.9848024316109423,0.9972201162496841,0.9833080424886191,0.9902640793691516,0.9902640793691516,0.0,PASS,,3.2758981000000063
segment0,rus,Random Undersampling,xgboost,2308,19,19,0,5,1957,22,4,325,0.988734835355286,0.9883626098348772,0.9365994236311239,0.9878419452887538,0.9934010152284265,0.9615384615384617,0.9774697383834441,0.9774697383834441,0.0,PASS,,1.3524631000000014
