dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,regret,top1_correct,top3_correct,full_evaluation_time_seconds,selected_strategy_time_seconds,savings_seconds,savings_percent
page-blocks0,xgboost,random_forest,ros,none,0.0013161030404336,False,False,34.46027029999999,4.195879500000004,30.264390799999987,87.82400873971089
pima,xgboost,random_forest,ros,none,0.0027396282655665,False,False,10.513094800000012,1.303745900000003,9.209348900000009,87.59883816514238
segment0,xgboost,random_forest,none,none,0.0,True,True,22.42828750000003,2.632413900000003,19.79587360000003,88.26297415707731
shuttle-c0-vs-c4,xgboost,random_forest,none,none|ros|smote|smote_tomek|smote_enn,0.0,True,True,12.330556800000004,1.7991220999999982,10.531434700000005,85.4092387782521
vehicle2,xgboost,random_forest,none,ros,0.0047246472903151,False,True,11.9388395,1.7943633999999946,10.144476100000006,84.97037002633301
vowel0,xgboost,random_forest,ros,none,0.0069138923137219,False,True,12.33758919999999,1.538400099999997,10.799189099999992,87.53078842988225
wisconsin,xgboost,random_forest,ros,smote_enn,0.0064719006881309,False,False,9.512048,1.2657211000000004,8.2463269,86.69349544913987
yeast1,xgboost,random_forest,none,smote_tomek,0.0140169456501404,False,False,11.614015199999997,1.655627199999998,9.958388,85.74457522666236
ecoli-0_vs_1,logistic_regression,gradient_boosting,adasyn,smote_tomek,0.0147637471075949,False,False,1.0172460999999973,0.1576374999999998,0.8596085999999975,84.50350411763681
glass1,logistic_regression,gradient_boosting,ros,smote_enn,0.0039960790523897,False,False,1.0580544999999988,0.1142134000000001,0.9438410999999987,89.20533866639192
haberman,logistic_regression,gradient_boosting,smote,smote_enn,0.0171839979701443,False,False,0.8455914999999994,0.1387938999999995,0.7067975999999999,83.5861760672855
iris0,logistic_regression,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,1.3112554,0.2810267000000017,1.0302286999999983,78.56811876618379
page-blocks0,logistic_regression,gradient_boosting,none,none,0.0,True,True,9.3963722,0.5377964999999989,8.858575700000001,94.27655175260087
pima,logistic_regression,gradient_boosting,ros,none,0.0118262062199504,False,False,1.3584931999999998,0.2428765999999997,1.1156166,82.1216182753068
segment0,logistic_regression,gradient_boosting,none,none,0.0,True,True,5.788029100000001,0.3763151000000002,5.411714000000001,93.49838963318274
shuttle-c0-vs-c4,logistic_regression,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,3.4081883999999985,0.5004019,2.9077864999999985,85.31765732199545
vehicle2,logistic_regression,gradient_boosting,none,ros,0.0097836710296483,False,True,2.9005068000000014,0.3685033000000004,2.532003500000001,87.29520992676176
vowel0,logistic_regression,gradient_boosting,ros,none,0.0605514773816783,False,False,2.2967455999999977,0.1826827999999984,2.1140627999999992,92.04601502229943
wisconsin,logistic_regression,gradient_boosting,ros,smote_enn,0.0033252476266334,False,True,1.2072141000000007,0.1181906000000001,1.0890235000000006,90.20964052689577
yeast1,logistic_regression,gradient_boosting,ros,rus,0.0092183801455087,False,False,2.0565516000000006,0.1298962999999999,1.9266553000000006,93.68378114120745
ecoli-0_vs_1,decision_tree,gradient_boosting,none,smote_enn,0.0197429799218161,False,True,0.7773905000000008,0.1590112999999995,0.6183792000000012,79.54550512258648
