dataset,classifier,meta_model,threshold,selected_resampling,predicted_delta_for_selection,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,selected_runtime_seconds,full_evaluation_runtime_seconds,savings_seconds,savings_percent,is_no_resampling,improves_over_baseline,matches_oracle
glass1,logistic_regression,random_forest,0.015,none,-5.196329112333586e-06,0.5015185021376971,0.5015185021376971,0.61023457900858,0.0,0.10871607687088292,0.10871607687088292,0.1123254,1.0580544999999988,0.9457290999999988,89.38377937998466,True,False,False
haberman,logistic_regression,random_forest,0.015,none,-0.0007282292118926392,0.5344040574809805,0.5344040574809805,0.6425233644859814,0.0,0.10811930700500083,0.10811930700500083,0.0950548000000002,0.8455914999999994,0.7505366999999992,88.75878009653594,True,False,False
iris0,logistic_regression,random_forest,0.015,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2810267000000017,1.3112554,1.0302286999999983,78.56811876618379,True,False,True
page-blocks0,logistic_regression,random_forest,0.015,none,0.004999060818398737,0.847852850384496,0.847852850384496,0.847852850384496,0.0,0.0,0.0,0.5377964999999989,9.3963722,8.858575700000001,94.27655175260087,True,False,True
pima,logistic_regression,random_forest,0.015,none,0.0014992713982476813,0.737580065691888,0.737580065691888,0.737580065691888,0.0,0.0,0.0,0.1478462999999998,1.3584931999999998,1.2106469,89.11689068447308,True,False,True
segment0,logistic_regression,random_forest,0.015,none,-0.006325331439159032,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.3763151000000002,5.788029100000001,5.411714000000001,93.49838963318274,True,False,True
shuttle-c0-vs-c4,logistic_regression,random_forest,0.015,none,-0.018119167532846037,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.5004019,3.4081883999999985,2.9077864999999985,85.31765732199545,True,False,True
vehicle2,logistic_regression,random_forest,0.015,none,-0.0058214847403279535,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.3685033000000004,2.9005068000000014,2.532003500000001,87.29520992676176,True,False,False
vowel0,logistic_regression,random_forest,0.015,none,-2.892980966873182e-05,0.8552891556541312,0.8552891556541312,0.8552891556541312,0.0,0.0,0.0,0.8367447999999982,2.2967455999999977,1.4600007999999995,63.56824195069759,True,False,True
wisconsin,logistic_regression,random_forest,0.015,none,-0.0017902951168909942,0.9677556415824756,0.9677556415824756,0.9680602319491208,0.0,0.00030459036664520767,0.00030459036664520767,0.1122782000000004,1.2072141000000007,1.0949359000000003,90.69939623799951,True,False,False
yeast1,logistic_regression,random_forest,0.015,none,-0.0029126277346962492,0.6456136985304575,0.6456136985304575,0.6832967627521116,0.0,0.03768306422165413,0.03768306422165413,0.3021811999999997,2.0565516000000006,1.7543704000000009,85.3064129292939,True,False,False
ecoli-0_vs_1,logistic_regression,random_forest,0.02,adasyn,0.020102339181286788,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.1576374999999998,1.0172460999999973,0.8596085999999975,84.50350411763681,False,False,False
glass1,logistic_regression,random_forest,0.02,none,-5.196329112333586e-06,0.5015185021376971,0.5015185021376971,0.61023457900858,0.0,0.10871607687088292,0.10871607687088292,0.1123254,1.0580544999999988,0.9457290999999988,89.38377937998466,True,False,False
haberman,logistic_regression,random_forest,0.02,none,-0.0007282292118926392,0.5344040574809805,0.5344040574809805,0.6425233644859814,0.0,0.10811930700500083,0.10811930700500083,0.0950548000000002,0.8455914999999994,0.7505366999999992,88.75878009653594,True,False,False
iris0,logistic_regression,random_forest,0.02,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2810267000000017,1.3112554,1.0302286999999983,78.56811876618379,True,False,True
page-blocks0,logistic_regression,random_forest,0.02,none,0.004999060818398737,0.847852850384496,0.847852850384496,0.847852850384496,0.0,0.0,0.0,0.5377964999999989,9.3963722,8.858575700000001,94.27655175260087,True,False,True
pima,logistic_regression,random_forest,0.02,none,0.0014992713982476813,0.737580065691888,0.737580065691888,0.737580065691888,0.0,0.0,0.0,0.1478462999999998,1.3584931999999998,1.2106469,89.11689068447308,True,False,True
segment0,logistic_regression,random_forest,0.02,none,-0.006325331439159032,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.3763151000000002,5.788029100000001,5.411714000000001,93.49838963318274,True,False,True
shuttle-c0-vs-c4,logistic_regression,random_forest,0.02,none,-0.018119167532846037,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.5004019,3.4081883999999985,2.9077864999999985,85.31765732199545,True,False,True
vehicle2,logistic_regression,random_forest,0.02,none,-0.0058214847403279535,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.3685033000000004,2.9005068000000014,2.532003500000001,87.29520992676176,True,False,False
vowel0,logistic_regression,random_forest,0.02,none,-2.892980966873182e-05,0.8552891556541312,0.8552891556541312,0.8552891556541312,0.0,0.0,0.0,0.8367447999999982,2.2967455999999977,1.4600007999999995,63.56824195069759,True,False,True
